"ID","weight","weight_2","Country_code","Country_name","Age_cat","Female","Income","Higher_edu","Home_ownership","Dwelling_house","Dwelling_size","Rural","Env_concern","Env_policy_public","Env_policy_costs","Env_policy_subsidy","Env_policy_tax","Env_policy_standards","Env_policy_liH","Adoption","Gov_support","EPS"
"c32da150-4154-11ec-962e-0943208e9789",0.955123785687083,0.930050387367062,2,"UK","35-44",1,"quintile 1",1,0,1,"26–50 m²",0,0,1,0,0,0,0,1,0,0,3.45
"6f6a3430-4152-11ec-9080-6197579e8c8f",1.06768691708586,0.992182530112167,2,"UK","45-54",0,"quintile 5",1,0,1,"Don't know",1,1,1,0,1,0,1,1,0,0,3.45
"b9048e90-6116-11ec-a0bf-9be6cbc4a61b",1.11070808835097,1.04686112905476,2,"UK","25-34",1,"quintile 5",1,0,1,"More than 200 m²",0,1,1,0,1,1,1,1,0,0,3.45
"7160aa80-ec99-11ec-a441-a92c76967e36",1.20084167354353,1.0976248742546,2,"UK","25-34",0,"quintile 3",1,1,1,"101–150 m²",0,1,1,0,1,1,1,1,0,0,3.45
"94f005f0-4151-11ec-8056-859f58a763fe",0.976458578599612,0.947294235572005,3,"FR","45-54",1,"quintile 1",0,0,0,"76–100 m²",0,1,1,0,1,1,1,1,1,0,4.17
"1b7d71f0-4157-11ec-8d33-875875994ca7",1.05596347932457,0.984476428298533,2,"UK","45-54",0,"quintile 1",0,0,0,"Don't know",0,1,0,0,1,0,1,1,0,0,3.45
"c1b5efe0-4154-11ec-bf88-2d1c2861d9d9",1.02994602452328,0.965702283730915,2,"UK","45-54",1,"quintile 3",0,1,1,"Don't know",1,1,1,0,1,0,1,0,1,0,3.45
"2a4e91d0-4152-11ec-92b7-ffd4974f7866",0.975268621982366,0.948153341493006,2,"UK","45-54",1,"quintile 1",1,1,1,"151–200 m²",0,1,1,0,1,1,1,1,1,1,3.45
"fc557160-f70d-11ec-a65e-15aed8b6fd7e",1.05215860789331,0.984049100635474,2,"UK","35-44",0,"quintile 5",1,1,1,"151–200 m²",0,0,0,0,1,0,1,0,1,0,3.45
"08b95e10-4153-11ec-b0c6-734acd434e66",1.01225399483124,1.0281767122152,3,"FR","45-54",1,"quintile 2",0,0,0,"51–75 m²",1,1,1,0,1,1,1,1,1,0,4.17
"a32dac80-c13b-11ec-94fa-cdc132f92a1e",1.10061100808964,1.03449931156122,3,"FR","45-54",0,"quintile 4",1,1,1,"101–150 m²",0,1,1,0,1,0,1,1,0,0,4.17
"09be43a0-4153-11ec-a40b-73ee981d2b4a",1.08342880257819,1.01128730178391,3,"FR","35-44",0,"quintile 4",0,1,1,"76–100 m²",0,1,1,0,1,0,1,0,1,0,4.17
