"ID","weight","weight_2","Country","REGION_UK","REGION_SE3","REGION_US2","REGION_NL2","REGION_CH","REGION_FR2","REGION_CA","REGION_BE","REGION_IL","Gender","Age_cat","Income","order_parts","S20","S5","S18","S19_1","S19_1_1","S19_2","S9_US","S9_UK","S9_FR","S9_SE","S9_CH","S9_NL","S9_CA","S9_BE","S9_IL","S10","B23_1","B31_1","B31_3","B31_5","B31_6","B31_7","B31_8","C34_1_2","C34_1_3","C34_1_4","C34_1_5","C34_1_6","C34_1_7","C34_1_89","C34_1_888888","C34_2_2","C34_2_3","C34_2_4","C34_2_5","C34_2_6","C34_2_7","C34_2_89","C34_2_888888","C35_1","C35_2","C35_3","C35_89","C35_888888","C37_1","C37_2","C37_3","C37_4","C37_5","C37_6","C37_8","C44_1","C44_2","C44_3","C44_4","C44_6","C44_9","C45_1","C45_3","C45_4","C45_6","C45_9","C46_1","C46_2","C46_3","C46_5","C46_6","C46_9","C47_1","C47_2","C47_4","C47_6","C49_1","C49_2","C49_3","C50"
"07cb5410-414f-11ec-88ec-e9170435fe70",0.938775915316135,1.04393426802723,9,NA,NA,NA,NA,NA,NA,NA,2,NA,2,5,2,"A,B,C,D",3,1,3,888888,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,3,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,888888,NA,NA,NA,NA,NA,2,1,1,1,2,2,NA,888888,888888,NA,NA,1,NA,NA,NA,5,5,5,5,5,5,4,4,4,1
"5d4eb460-574c-11ec-9ea1-ab06d989252c",1.01685520168973,0.906549416278023,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,5,2,"A,B,C,D",4,1,3,NA,6,1,11,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,5,4,2,4,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,4,3,3,4,4,4,4,4,4,1
"0ed196b0-574c-11ec-b621-cbb6562269b6",0.885158518272883,1.19424682108955,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,5,5,"A,C,B,E",2,2,2,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,3,5,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,NA,NA,NA,NA,NA,NA,1,1,2,1,2,2,1,NA,1,NA,NA,NA,NA,3,NA,5,3,5,3,4,3,5,4,3,1
"2bb7c120-574c-11ec-8bda-75fa20438fd1",0.915924574122324,1.25872345357675,1,NA,NA,9,NA,NA,NA,NA,NA,NA,2,5,5,"A,B,F,C",2,1,3,NA,5,1,7,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,3,4,4,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,4,4,2,1,2,2
"7b6059e0-574b-11ec-be6f-3393f44903bc",0.875434299847098,1.00279133367585,1,NA,NA,5,NA,NA,NA,NA,NA,NA,2,5,4,"A,B,D,C",2,1,3,NA,5,2,10,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,4,4,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,NA,NA,NA,NA,NA,6,NA,6,NA,6,6,5,5,5,5,3,3,3,1
"43a7b9b0-414f-11ec-9731-91ba6062873a",1.01527355117381,0.99162261583855,4,NA,NA,NA,3,NA,NA,NA,NA,NA,1,5,3,"A,F,B,C",3,1,4,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,5,1,4,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,888888,NA,NA,NA,NA,NA,1,1,2,2,1,2,1,NA,NA,1,NA,NA,NA,1,NA,NA,4,4,4,4,4,5,5,5,1
"410db110-574f-11ec-a62a-33b118062093",0.94907939682381,0.904650135440557,1,NA,NA,8,NA,NA,NA,NA,NA,NA,2,5,1,"A,C,B,E",3,1,3,NA,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,4,5,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,888888,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,3,3,3,3,3,3,888888,888888,888888,888888,4,3,4,1
"dac360d0-574b-11ec-80ca-bb14795dc333",0.894625593860465,0.836614077828616,1,NA,NA,4,NA,NA,NA,NA,NA,NA,2,5,3,"A,C,B,D",2,1,3,NA,7,1,10,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,3,3,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,2,5,6,3,3,4,4,4,3,4,1
"f677c340-58c8-11ec-b41b-d506b4bdb207",0.859114156716849,0.953844775460014,5,NA,2,NA,NA,NA,NA,NA,NA,NA,2,5,3,"A,B,D,C",1,1,2,3,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,2,5,1,4,4,4,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,2,NA,NA,NA,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,6,6,6,6,3,4,4,4,3,3,3,3
"ba3c8b50-414f-11ec-b3cb-4502ad775ae9",0.942879193656637,0.895539024016858,4,NA,NA,NA,3,NA,NA,NA,NA,NA,2,5,3,"A,B,C,D",3,1,4,5,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,5,5,1,4,2,2,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,3,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,1,2,6,4,4,4,4,4,4,4,2
"efcc5600-414e-11ec-b422-5511a35fb000",0.938775915316135,0.962146685904907,9,NA,NA,NA,NA,NA,NA,NA,2,NA,2,5,3,"A,B,C,F",3,1,4,5,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,4,4,3,5,3,4,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,4,NA,NA,NA,NA,NA,1,1,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,2,4,4,4,5,4,3,5,4,2
