STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,REF_AREA,,SECTOR,,COUNTERPART_SECTOR,,TRANSACTION,,INSTR_ASSET,,ACTIVITY,,EXPENDITURE,,UNIT_MEASURE,,PRICE_BASE,,TRANSFORMATION,,TABLE_IDENTIFIER,,TIME_PERIOD,,OBS_VALUE,,REF_YEAR_PRICE,,CONF_STATUS,,DECIMALS,,OBS_STATUS,,UNIT_MULT,,CURRENCY,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,BEL,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2023,,0.736463,,,,F,,6,,A,,0,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,BEL,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2019,,0.779588,,,,F,,6,,A,,0,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,BEL,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2021,,0.739781,,,,F,,6,,A,,0,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,FRA,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2021,,0.692841,,,,F,,6,,A,,0,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,FRA,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2020,,0.708155,,,,F,,6,,A,,0,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,FRA,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2019,,0.729648,,,,F,,6,,A,,0,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,GBR,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2019,,0.732218,,,,F,,6,,A,,0,,GBP,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,GBR,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2018,,0.754476,,,,F,,6,,A,,0,,GBP,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,GBR,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2023,,0.715699,,,,F,,6,,A,,0,,GBP,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,GBR,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2022,,0.701452,,,,F,,6,,A,,0,,GBP,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,GBR,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2021,,0.699187,,,,F,,6,,A,,0,,GBP,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,ISR,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2022,,3.670252,,,,F,,6,,A,,0,,ILS,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,ISR,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2021,,3.816421,,,,F,,6,,A,,0,,ILS,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,ISR,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2020,,3.942837,,,,F,,6,,A,,0,,ILS,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,ISR,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2023,,3.707979,,,,F,,6,,A,,0,,ILS,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,ISR,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2019,,4.043044,,,,F,,6,,A,,0,,ILS,
